티커,기업명,산업,시가총액,현재가,거래량,조건충족여부
ROKU,"Roku, Inc.",Entertainment,11235499008,77.37999725341797,2633300.0,"{'현재가가 200일선 위': True, '150일선이 200일선 위': True, '50일선이 150/200일선 위': True, '현재가가 5일선 위': True, '200일선 상승 추세': True, '52주 최저가 대비 30% 이상': True}"
UPST,"Upstart Holdings, Inc.",Credit Services,5845890560,64.08000183105469,4198400.0,"{'현재가가 200일선 위': True, '150일선이 200일선 위': True, '50일선이 150/200일선 위': True, '현재가가 5일선 위': True, '200일선 상승 추세': True, '52주 최저가 대비 30% 이상': True}"
